================================================================================
SSR TUITION CLASSES (CLASSES 1-10) - MASTER CREDENTIALS DIRECTORY
================================================================================
Teacher & Founder: Samba Siva Reddy Annem | SSR Tuition Single-Teacher Excellence
Supported Boards: CBSE | ICSE | TG State Board | AP State Board | Karnataka SSLC
[STUDENT #15] | Roll: 1015 | Username: student15    | Password: stdpass15    | Board: Karnataka SSLC
[STUDENT #16] | Roll: 1016 | Username: student16    | Password: stdpass16    | Board: Maharashtra SSC
[STUDENT #17] | Roll: 1017 | Username: student17    | Password: stdpass17    | Board: Tamil Nadu State Board
[STUDENT #18] | Roll: 1018 | Username: student18    | Password: stdpass18    | Board: IGCSE
[STUDENT #19] | Roll: 1019 | Username: student19    | Password: stdpass19    | Board: IB
[STUDENT #20] | Roll: 1020 | Username: student20    | Password: stdpass20    | Board: NIOS
[STUDENT #21] | Roll: 1021 | Username: student21    | Password: stdpass21    | Board: CBSE
[STUDENT #22] | Roll: 1022 | Username: student22    | Password: stdpass22    | Board: ICSE
[STUDENT #23] | Roll: 1023 | Username: student23    | Password: stdpass23    | Board: TG State Board
[STUDENT #24] | Roll: 1024 | Username: student24    | Password: stdpass24    | Board: AP State Board
[STUDENT #25] | Roll: 1025 | Username: student25    | Password: stdpass25    | Board: Karnataka SSLC
[STUDENT #26] | Roll: 1026 | Username: student26    | Password: stdpass26    | Board: Maharashtra SSC
[STUDENT #27] | Roll: 1027 | Username: student27    | Password: stdpass27    | Board: Tamil Nadu State Board
[STUDENT #28] | Roll: 1028 | Username: student28    | Password: stdpass28    | Board: IGCSE
[STUDENT #29] | Roll: 1029 | Username: student29    | Password: stdpass29    | Board: IB
[STUDENT #30] | Roll: 1030 | Username: student30    | Password: stdpass30    | Board: NIOS
[STUDENT #31] | Roll: 1031 | Username: student31    | Password: stdpass31    | Board: CBSE
[STUDENT #32] | Roll: 1032 | Username: student32    | Password: stdpass32    | Board: ICSE
[STUDENT #33] | Roll: 1033 | Username: student33    | Password: stdpass33    | Board: TG State Board
[STUDENT #34] | Roll: 1034 | Username: student34    | Password: stdpass34    | Board: AP State Board
[STUDENT #35] | Roll: 1035 | Username: student35    | Password: stdpass35    | Board: Karnataka SSLC
[STUDENT #36] | Roll: 1036 | Username: student36    | Password: stdpass36    | Board: Maharashtra SSC
[STUDENT #37] | Roll: 1037 | Username: student37    | Password: stdpass37    | Board: Tamil Nadu State Board
[STUDENT #38] | Roll: 1038 | Username: student38    | Password: stdpass38    | Board: IGCSE
[STUDENT #39] | Roll: 1039 | Username: student39    | Password: stdpass39    | Board: IB
[STUDENT #40] | Roll: 1040 | Username: student40    | Password: stdpass40    | Board: NIOS
[STUDENT #41] | Roll: 1041 | Username: student41    | Password: stdpass41    | Board: CBSE
[STUDENT #42] | Roll: 1042 | Username: student42    | Password: stdpass42    | Board: ICSE
[STUDENT #43] | Roll: 1043 | Username: student43    | Password: stdpass43    | Board: TG State Board
[STUDENT #44] | Roll: 1044 | Username: student44    | Password: stdpass44    | Board: AP State Board
[STUDENT #45] | Roll: 1045 | Username: student45    | Password: stdpass45    | Board: Karnataka SSLC
[STUDENT #46] | Roll: 1046 | Username: student46    | Password: stdpass46    | Board: Maharashtra SSC
[STUDENT #47] | Roll: 1047 | Username: student47    | Password: stdpass47    | Board: Tamil Nadu State Board
[STUDENT #48] | Roll: 1048 | Username: student48    | Password: stdpass48    | Board: IGCSE
[STUDENT #49] | Roll: 1049 | Username: student49    | Password: stdpass49    | Board: IB
[STUDENT #50] | Roll: 1050 | Username: student50    | Password: stdpass50    | Board: NIOS

--- 3. PARENT CREDENTIALS (50 PARENTS) ---
[PARENT #01] | Parent ID: p1001 | Username: parent_01    | Password: prnpass01    | Child: Student 01
[PARENT #02] | Parent ID: p1002 | Username: parent_02    | Password: prnpass02    | Child: Student 02
[PARENT #03] | Parent ID: p1003 | Username: parent_03    | Password: prnpass03    | Child: Student 03
[PARENT #04] | Parent ID: p1004 | Username: parent_04    | Password: prnpass04    | Child: Student 04
[PARENT #05] | Parent ID: p1005 | Username: parent_05    | Password: prnpass05    | Child: Student 05
[PARENT #06] | Parent ID: p1006 | Username: parent_06    | Password: prnpass06    | Child: Student 06
[PARENT #07] | Parent ID: p1007 | Username: parent_07    | Password: prnpass07    | Child: Student 07
[PARENT #08] | Parent ID: p1008 | Username: parent_08    | Password: prnpass08    | Child: Student 08
[PARENT #09] | Parent ID: p1009 | Username: parent_09    | Password: prnpass09    | Child: Student 09
[PARENT #10] | Parent ID: p1010 | Username: parent_10    | Password: prnpass10    | Child: Student 10
[PARENT #11] | Parent ID: p1011 | Username: parent_11    | Password: prnpass11    | Child: Student 11
[PARENT #12] | Parent ID: p1012 | Username: parent_12    | Password: prnpass12    | Child: Student 12
[PARENT #13] | Parent ID: p1013 | Username: parent_13    | Password: prnpass13    | Child: Student 13
[PARENT #14] | Parent ID: p1014 | Username: parent_14    | Password: prnpass14    | Child: Student 14
[PARENT #15] | Parent ID: p1015 | Username: parent_15    | Password: prnpass15    | Child: Student 15
[PARENT #16] | Parent ID: p1016 | Username: parent_16    | Password: prnpass16    | Child: Student 16
[PARENT #17] | Parent ID: p1017 | Username: parent_17    | Password: prnpass17    | Child: Student 17
[PARENT #18] | Parent ID: p1018 | Username: parent_18    | Password: prnpass18    | Child: Student 18
[PARENT #19] | Parent ID: p1019 | Username: parent_19    | Password: prnpass19    | Child: Student 19
[PARENT #20] | Parent ID: p1020 | Username: parent_20    | Password: prnpass20    | Child: Student 20
[PARENT #21] | Parent ID: p1021 | Username: parent_21    | Password: prnpass21    | Child: Student 21
[PARENT #22] | Parent ID: p1022 | Username: parent_22    | Password: prnpass22    | Child: Student 22
[PARENT #23] | Parent ID: p1023 | Username: parent_23    | Password: prnpass23    | Child: Student 23
[PARENT #24] | Parent ID: p1024 | Username: parent_24    | Password: prnpass24    | Child: Student 24
[PARENT #25] | Parent ID: p1025 | Username: parent_25    | Password: prnpass25    | Child: Student 25
[PARENT #26] | Parent ID: p1026 | Username: parent_26    | Password: prnpass26    | Child: Student 26
[PARENT #27] | Parent ID: p1027 | Username: parent_27    | Password: prnpass27    | Child: Student 27
[PARENT #28] | Parent ID: p1028 | Username: parent_28    | Password: prnpass28    | Child: Student 28
[PARENT #29] | Parent ID: p1029 | Username: parent_29    | Password: prnpass29    | Child: Student 29
[PARENT #30] | Parent ID: p1030 | Username: parent_30    | Password: prnpass30    | Child: Student 30
[PARENT #31] | Parent ID: p1031 | Username: parent_31    | Password: prnpass31    | Child: Student 31
[PARENT #32] | Parent ID: p1032 | Username: parent_32    | Password: prnpass32    | Child: Student 32
[PARENT #33] | Parent ID: p1033 | Username: parent_33    | Password: prnpass33    | Child: Student 33
[PARENT #34] | Parent ID: p1034 | Username: parent_34    | Password: prnpass34    | Child: Student 34
[PARENT #35] | Parent ID: p1035 | Username: parent_35    | Password: prnpass35    | Child: Student 35
[PARENT #36] | Parent ID: p1036 | Username: parent_36    | Password: prnpass36    | Child: Student 36
[PARENT #37] | Parent ID: p1037 | Username: parent_37    | Password: prnpass37    | Child: Student 37
[PARENT #38] | Parent ID: p1038 | Username: parent_38    | Password: prnpass38    | Child: Student 38
[PARENT #39] | Parent ID: p1039 | Username: parent_39    | Password: prnpass39    | Child: Student 39
[PARENT #40] | Parent ID: p1040 | Username: parent_40    | Password: prnpass40    | Child: Student 40
[PARENT #41] | Parent ID: p1041 | Username: parent_41    | Password: prnpass41    | Child: Student 41
[PARENT #42] | Parent ID: p1042 | Username: parent_42    | Password: prnpass42    | Child: Student 42
[PARENT #43] | Parent ID: p1043 | Username: parent_43    | Password: prnpass43    | Child: Student 43
[PARENT #44] | Parent ID: p1044 | Username: parent_44    | Password: prnpass44    | Child: Student 44
[PARENT #45] | Parent ID: p1045 | Username: parent_45    | Password: prnpass45    | Child: Student 45
[PARENT #46] | Parent ID: p1046 | Username: parent_46    | Password: prnpass46    | Child: Student 46
[PARENT #47] | Parent ID: p1047 | Username: parent_47    | Password: prnpass47    | Child: Student 47
[PARENT #48] | Parent ID: p1048 | Username: parent_48    | Password: prnpass48    | Child: Student 48
[PARENT #49] | Parent ID: p1049 | Username: parent_49    | Password: prnpass49    | Child: Student 49
[PARENT #50] | Parent ID: p1050 | Username: parent_50    | Password: prnpass50    | Child: Student 50
